id,email,name,avatarUrl,createdAt,updatedAt,isAdmin
cmfykinlx0000sbkw761bgbgh,admin@udel.edu,System Admin,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/59.jpg,2025-09-24 22:40:57.861,2025-09-24 22:40:57.861,true
cmfykinnb0001sbkwwxjcackr,Heloise_OConnell@udel.edu,Hattie Strosin,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/29.jpg,2025-09-24 22:40:57.912,2025-09-24 22:40:57.912,false
cmfykins20002sbkw0gs6k99v,Clemmie_Cummerata@udel.edu,Edith Greenfelder-Feeney,https://avatars.githubusercontent.com/u/17614346,2025-09-24 22:40:57.912,2025-09-24 22:40:57.912,false
cmfykins90003sbkw5brl4oax,Mohamed_Hirthe@udel.edu,Dale Kozey II,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/25.jpg,2025-09-24 22:40:57.912,2025-09-24 22:40:57.912,false
cmfykinvv0004sbkwy3ytp6wp,Brycen.Marquardt3@udel.edu,Lynne VonRueden,https://avatars.githubusercontent.com/u/26385568,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykinvv0005sbkwtq6g26lm,Dejah.Kutch@udel.edu,Ms. Joanna Wiza,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/1.jpg,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykinvv0006sbkw5yf6n7ax,Derick.Lindgren@udel.edu,Misty Jones Sr.,https://avatars.githubusercontent.com/u/36449974,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio0l0007sbkw1hl67rne,Monserrate.Marvin@udel.edu,Dustin Beier DDS,https://avatars.githubusercontent.com/u/59289925,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio1e0008sbkwxafhi6l5,Adolph.Yost63@udel.edu,Dr. Tina Gusikowski,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/6.jpg,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio1f0009sbkw14gnj2ji,Abdiel_Mertz@udel.edu,Dana Murphy,https://avatars.githubusercontent.com/u/16595292,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio1l000asbkwea39v53h,Kolby.Kertzmann88@udel.edu,Sonia McGlynn,https://avatars.githubusercontent.com/u/54576968,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio2a000bsbkws8ryd2r0,Verner_Prosacco35@udel.edu,Hugh Hoeger,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/3.jpg,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio2b000csbkwni251h0z,Catherine.Mayer43@udel.edu,Billie Kris,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/93.jpg,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio2c000dsbkwngqaeb62,Keith.Cruickshank@udel.edu,Dr. Grant Hilll PhD,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/67.jpg,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio2f000esbkw76x13kzt,Moises.Schaden@udel.edu,Marshall Shields,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/27.jpg,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio2f000fsbkwklqv3i72,Lafayette.Harber@udel.edu,Mr. Alex Stehr,https://avatars.githubusercontent.com/u/95063515,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio2f000gsbkw7i8fq2tl,Alex.Champlin21@udel.edu,Lindsey Harber,https://avatars.githubusercontent.com/u/1873228,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio2f000hsbkw91qzmsdd,Carlos_Lakin-Marvin@udel.edu,Albert Raynor,https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/69.jpg,2025-09-24 22:40:58.22,2025-09-24 22:40:58.22,false
cmfykio3w000isbkwa6rwekr9,amaruf@udel.edu,Abdullah Maruf,https://avatars.githubusercontent.com/u/64433803,2025-09-24 22:40:58.509,2025-09-24 22:40:58.509,false
